node1,node2,radius
[2.257895 4.252632],[2.257895 4.257895],0.021052631578947368
[1.489474 3.642105],[1.489474 3.647368],0.01621652015833784
[1.673684 3.794737],[1.678947 3.794737],0.022619056791098
[3.573684 6.078947],[3.573684 6.084211],0.01781007614640097
[2.047368 3.900000],[2.047368 3.905263],0.005263157894736842
[5.252632 0.205263],[5.252632 0.210526],0.021052631578947368
[3.500000 5.726316],[3.500000 5.731579],0.015789473684210527
[0.236842 4.394737],[0.236842 4.400000],0.03265083644903942
[0.694737 4.300000],[0.694737 4.305263],0.021376593751625424
[4.715789 4.463158],[4.721053 4.463158],0.021052631578947368
[3.247368 0.310526],[3.252632 0.310526],0.015789473684210527
[4.089474 4.242105],[4.089474 4.247368],0.011147547309209973
[3.473684 2.352632],[3.473684 2.357895],0.024926673565788367
[1.336842 0.631579],[1.336842 0.636842],0.020014608619642077
[3.521053 4.484211],[3.521053 4.489474],0.018848099105706263
[4.515789 2.473684],[4.515789 2.478947],0.011147547309209973
[0.200000 2.705263],[0.205263 2.705263],0.021052631578947368
[1.510526 2.947368],[1.510526 2.952632],0.021376593751625424
[3.078947 1.226316],[3.084211 1.226316],0.022619056791098
[4.310526 3.647368],[4.315789 3.647368],0.021052631578947368
[3.589474 0.678947],[3.589474 0.684211],0.020014608619642077
[5.347368 6.094737],[5.352632 6.094737],0.021376593751625424
[0.431579 4.347368],[0.436842 4.347368],0.013327618690120998
[1.163158 4.136842],[1.163158 4.142105],0.015789473684210527
[5.068421 3.784211],[5.068421 3.789474],0.020014608619642077
[1.836842 5.347368],[1.842105 5.347368],0.015789473684210527
[4.842105 5.431579],[4.842105 5.436842],0.021052631578947368
[1.610526 2.310526],[1.615789 2.310526],0.01781007614640097
[1.152632 3.084211],[1.152632 3.089474],0.021052631578947368
[1.752632 4.973684],[1.752632 4.978947],0.010526315789473684
[3.047368 1.452632],[3.052632 1.452632],0.015789473684210527
[2.773684 1.957895],[2.773684 1.963158],0.011147547309209973
[4.263158 0.305263],[4.263158 0.310526],0.013327618690120998
